timestep,nABC_pure,nABC_clean,nABC_all,nAB_edges,nBC_edges,nApatch3,nBpatch4,nBpatch5,nCpatch6
10000,0,0,0,0,0,75,75,75,75
20000,0,0,0,5,3,75,75,75,75
30000,1,1,1,7,8,75,75,75,75
40000,2,2,2,9,9,75,75,75,75
50000,3,3,5,10,13,75,75,75,75
60000,4,4,6,11,14,75,75,75,75
70000,4,4,6,11,14,75,75,75,75
80000,6,6,8,12,16,75,75,75,75
90000,6,6,8,12,16,75,75,75,75
100000,7,7,9,12,18,75,75,75,75
110000,7,7,9,13,18,75,75,75,75
120000,7,7,9,13,18,75,75,75,75
130000,7,7,9,13,18,75,75,75,75
140000,8,8,10,13,19,75,75,75,75
150000,9,9,11,14,20,75,75,75,75
160000,9,9,11,14,21,75,75,75,75
170000,10,10,12,15,21,75,75,75,75
180000,9,9,13,16,21,75,75,75,75
190000,9,9,13,16,21,75,75,75,75
200000,9,9,13,16,21,75,75,75,75
210000,9,9,13,16,21,75,75,75,75
220000,9,9,13,16,21,75,75,75,75
230000,9,9,13,18,21,75,75,75,75
240000,9,9,13,18,22,75,75,75,75
250000,10,10,14,19,22,75,75,75,75
260000,10,10,16,19,23,75,75,75,75
270000,10,10,16,19,23,75,75,75,75
280000,10,10,16,19,23,75,75,75,75
290000,10,10,16,20,23,75,75,75,75
300000,10,10,16,20,23,75,75,75,75
310000,10,10,16,20,23,75,75,75,75
320000,10,10,16,20,23,75,75,75,75
330000,11,11,17,21,23,75,75,75,75
340000,11,11,17,21,23,75,75,75,75
350000,12,12,18,22,23,75,75,75,75
360000,12,12,18,22,23,75,75,75,75
370000,12,12,18,22,23,75,75,75,75
380000,12,12,18,22,23,75,75,75,75
390000,12,12,18,22,23,75,75,75,75
400000,12,12,18,22,23,75,75,75,75
410000,12,12,18,22,23,75,75,75,75
420000,12,12,18,22,23,75,75,75,75
430000,12,12,18,22,23,75,75,75,75
440000,12,12,18,22,23,75,75,75,75
450000,12,12,18,22,23,75,75,75,75
460000,12,12,18,22,23,75,75,75,75
470000,12,12,18,22,23,75,75,75,75
480000,12,12,18,22,23,75,75,75,75
490000,12,12,18,22,23,75,75,75,75
500000,12,12,18,22,23,75,75,75,75
510000,12,12,18,22,23,75,75,75,75
520000,12,12,18,22,23,75,75,75,75
530000,12,12,18,22,23,75,75,75,75
540000,12,12,18,22,23,75,75,75,75
550000,12,12,18,22,23,75,75,75,75
560000,12,12,18,22,23,75,75,75,75
570000,12,12,18,22,23,75,75,75,75
580000,13,13,19,22,24,75,75,75,75
590000,13,13,19,22,24,75,75,75,75
600000,13,13,19,22,24,75,75,75,75
610000,13,13,19,22,24,75,75,75,75
620000,13,13,19,22,24,75,75,75,75
630000,13,13,19,22,24,75,75,75,75
640000,13,13,19,22,24,75,75,75,75
650000,13,13,19,22,24,75,75,75,75
660000,13,13,19,22,24,75,75,75,75
670000,13,13,19,22,24,75,75,75,75
680000,13,13,19,22,24,75,75,75,75
690000,13,13,19,22,24,75,75,75,75
700000,13,13,19,22,24,75,75,75,75
710000,13,13,19,22,24,75,75,75,75
720000,13,13,19,22,24,75,75,75,75
730000,13,13,19,22,24,75,75,75,75
740000,13,13,19,22,24,75,75,75,75
750000,13,13,19,22,24,75,75,75,75
760000,13,13,19,22,24,75,75,75,75
770000,13,13,19,22,24,75,75,75,75
780000,13,13,19,22,24,75,75,75,75
790000,13,13,19,22,25,75,75,75,75
800000,13,13,19,22,25,75,75,75,75
810000,13,13,19,22,25,75,75,75,75
820000,13,13,19,22,25,75,75,75,75
830000,13,13,19,22,25,75,75,75,75
840000,13,13,19,22,25,75,75,75,75
850000,13,13,19,22,25,75,75,75,75
860000,12,12,20,23,25,75,75,75,75
870000,12,12,20,23,25,75,75,75,75
880000,12,12,20,23,25,75,75,75,75
890000,12,12,20,23,25,75,75,75,75
900000,12,12,20,23,25,75,75,75,75
